Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.58      0.05     0.05  8768199     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  4.55      0.08     0.03  9312584     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 312ul, 1ul, 0ul>(unsigned long)
  4.55      0.11     0.03  3640686     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  4.55      0.14     0.03    29944     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::_M_gen_rand()
  3.03      0.16     0.02  9342528     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 0ul, 1ul, 0ul>(unsigned long)
  3.03      0.18     0.02  3032820     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  3.03      0.20     0.02  2891394     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  3.03      0.22     0.02  2424954     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  3.03      0.24     0.02  2424954     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  3.03      0.26     0.02   780894     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&)
  3.03      0.28     0.02   607866     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  2.27      0.30     0.02  6065640     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  1.52      0.31     0.01  9342528     0.00     0.00  std::__detail::_Mod<unsigned long, 0ul, 1ul, 0ul, true, false>::__calc(unsigned long)
  1.52      0.32     0.01  8768199     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  1.52      0.33     0.01  6097242     0.00     0.00  std::allocator<int>::~allocator()
  1.52      0.34     0.01  6065640     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  1.52      0.35     0.01  5630802     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  1.52      0.36     0.01  4535454     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  1.52      0.37     0.01  3205848     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  1.52      0.38     0.01  3205848     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  1.52      0.39     0.01  3205848     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  1.52      0.40     0.01  3032820     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  1.52      0.41     0.01  2891394     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  1.52      0.42     0.01  2891394     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  1.52      0.43     0.01  2891394     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  1.52      0.44     0.01  2891394     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  1.52      0.45     0.01  2424954     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  1.52      0.46     0.01  2424954     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  1.52      0.47     0.01  2424954     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  1.52      0.48     0.01  2424954     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  1.52      0.49     0.01  1644060     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator++()
  1.52      0.50     0.01  1084827     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator(std::vector<int, std::allocator<int> >* const&)
  1.52      0.51     0.01   809903     0.00     0.00  State::getVisitCount()
  1.52      0.52     0.01   780894     0.00     0.00  std::allocator<int>::allocator()
  1.52      0.53     0.01   780894     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long, std::vector<int, std::allocator<int> > const&)
  1.52      0.54     0.01   607866     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  1.52      0.55     0.01   607866     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  1.52      0.56     0.01   544860     0.00     0.00  void std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::emplace_back<std::pair<int, int> >(std::pair<int, int>&&)
  1.52      0.57     0.01   520596     0.00     0.00  std::move_iterator<std::vector<int, std::allocator<int> >*>::move_iterator(std::vector<int, std::allocator<int> >*)
  1.52      0.58     0.01   446625     0.00     0.00  __gnu_cxx::new_allocator<Node>::~new_allocator()
  1.52      0.59     0.01   278465     0.00     0.00  void std::_Destroy<Node*>(Node*, Node*)
  1.52      0.60     0.01   274010     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*)
