Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.02     0.02   904123     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
 14.29      0.04     0.02   479771     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  7.14      0.05     0.01  1062370     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  7.14      0.06     0.01   986953     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  7.14      0.07     0.01   330891     0.00     0.00  std::allocator<int>::allocator()
  7.14      0.08     0.01   272473     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin()
  7.14      0.09     0.01    82830     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  7.14      0.10     0.01    30613     0.00     0.00  std::vector<Node, std::allocator<Node> >::~vector()
  7.14      0.11     0.01     2566     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::_M_gen_rand()
  7.14      0.12     0.01     2566     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::seed(unsigned long)
  3.57      0.13     0.01  2495565     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >*&>::type&& std::move<std::vector<int, std::allocator<int> >*&>(std::vector<int, std::allocator<int> >*&)
  3.57      0.13     0.01   411727     0.00     0.00  std::vector<Node, std::allocator<Node> >::size() const
  3.57      0.14     0.01   224731     0.00     0.00  std::vector<Node, std::allocator<Node> >::operator[](unsigned long)
  3.57      0.14     0.01   135063     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_base(std::allocator<std::vector<int, std::allocator<int> > > const&)
  0.00      0.14     0.00  2586872     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.14     0.00  2380214     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.14     0.00  2297384     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.14     0.00  2297384     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.14     0.00  2139137     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.14     0.00  2139137     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.14     0.00  1973906     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.14     0.00  1973906     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.14     0.00  1973906     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.14     0.00  1973906     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.14     0.00  1973906     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.14     0.00  1973906     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.14     0.00  1813271     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.14     0.00  1235014     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
