Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.02     0.02  1024989     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  7.14      0.03     0.01  2336374     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  7.14      0.04     0.01  1838382     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  7.14      0.05     0.01  1020543     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  7.14      0.06     0.01  1020543     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  7.14      0.07     0.01   813393     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  7.14      0.08     0.01   490101     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  7.14      0.09     0.01   214554     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::max_size() const
  7.14      0.10     0.01   145387     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  7.14      0.11     0.01   107277     0.00     0.00  Board::Board()
  7.14      0.12     0.01     3407     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::_M_gen_rand()
  7.14      0.13     0.01                             void std::__alloc_on_move<std::allocator<int> >(std::allocator<int>&, std::allocator<int>&)
  3.57      0.14     0.01  1062984     0.00     0.00  std::__detail::_Mod<unsigned long, 0ul, 1ul, 0ul, true, false>::__calc(unsigned long)
  3.57      0.14     0.01  1059577     0.00     0.00  std::__detail::_Mod<unsigned long, 312ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.14     0.00  3318343     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.14     0.00  2375895     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.14     0.00  2270097     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.14     0.00  2270097     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.14     0.00  2062947     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.14     0.00  2062947     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.14     0.00  1838382     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
